Title,Rental_Price,Location,Beds,Baths,Super Built-up Area,Status,Furnished Status,Rental Value,Address,Furnishing,link,Balconies,Carpet Area,Project,Floor,Facing,Lift,Age Of Construction,Security Deposit,Landmarks,Flooring,Overlooking,Age of Construction,Water Availability,Status of Electricity,Price,Developer,Additional Rooms,Amenities,Price per sqft,Configuration,Tower & Unit,Balcony,Floors allowed for construction,Covered Parking,Lifts,Car parking,Authority Approval,Bed,Tower,Unit,Bath,Type of Ownership,RERA ID,Plot Area,Any Construction done,Boundary Wall,Transaction Type,Additional Features,Approved
2 BHK Flat 1200 Sq-ft For Rent in,"₹28,000","Satellite, Ahmedabad",2.0,2.0,1200sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹23/sqft,Immediately,Furnished,"₹28,000|₹2,000Monthly Maintenance","Satellite, Ahmedabad - West, Gujarat",Furnished,https://www.magicbricks.com/propertyDetails/2-BHK-1200-Sq-ft-Multistorey-Apartment-FOR-Rent-Satellite-in-Ahmedabad&id=4d423833333937373539,,,,5(Out of 10 Floors),East,2.0,New Construction,"₹28, 000",,Vitrified,Garden/Park,New Construction,24 Hours Available,No/Rare Powercut,,,Study,,,,,1.0,,1.0,2.0,1 Covered,,,,,,,,,,,,,
3 BHK Flat 300 Sq-ft For Rent in,"₹8,500","Ruturaj Apartments, Ahmedabad",3.0,2.0,,Immediately,Furnished,"₹8,500","Chandranagar, Ahmedabad, Gujarat",Furnished,https://www.magicbricks.com/propertyDetails/3-BHK-300-Sq-ft-Multistorey-Apartment-FOR-Rent-in-Ahmedabad&id=4d423833343935353335,,300sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹28/sqft,,1(Out of 4 Floors),,,,,Near Riverfront,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
"3 BHK 2650 Sq-ft Flat/Apartment  For Rent in Dwarkesh Fragrance,","₹26,000","Chandkheda, Ahmedabad",3.0,3.0,2650sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹10/sqft,Immediately,Semi-Furnished,"₹26,000|₹2,000Monthly Maintenance","Chandkheda, Ahmedabad - North, Gujarat",Semi-Furnished,https://www.magicbricks.com/propertyDetails/3-BHK-2650-Sq-ft-Multistorey-Apartment-FOR-Rent-Chandkheda-in-Ahmedabad&id=4d423833303134363539,2.0,,Dwarkesh Fragrance,5(Out of 12 Floors),East,,New Construction,,Nr Tapovan Circle and Ashok Vihar Circle Motera,Vitrified,Main Road,New Construction,24 Hours Available,No/Rare Powercut,₹ 1.34 Cr - ₹ 1.43 Cr,,Store,"Reserved Parking,Gymnasium,Swimming Pool",,3 BHK Flat,"1 Tower , 302 Units",,,,,,,,,,,,,,,,,,
"3 BHK 1745 Sq-ft Flat/Apartment  For Rent in A Shridhar Kaveri Soham Vivanta,","₹30,000","Shilaj, Ahmedabad",3.0,3.0,,Immediately,Semi-Furnished,"₹30,000|₹1,500Monthly Maintenance","Shilaj, Ahmedabad, Shilaj, Ahmedabad - West, Gujarat",Semi-Furnished,https://www.magicbricks.com/propertyDetails/3-BHK-1745-Sq-ft-Multistorey-Apartment-FOR-Rent-Shilaj-in-Ahmedabad&id=4d423833343932343737,,1069sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹28/sqft,A Shridhar Kaveri Soham Vivanta,9(Out of 13 Floors),East,3.0,,"₹60, 000","near shilaj circol,",Vitrified,"Garden/Park, Pool, Main Road",New Construction,24 Hours Available,No/Rare Powercut,₹ 82.1 Lac - ₹ 92.5 Lac,A Shridhar Infracon LLP,"Puja Room, Study, Store","Fire Fighting Equipment,Kids Play Area,CCTV Camera,Banquet Hall,Security,Reserved Parking,Park,Gymnasium,Lift","₹ 4,700 - ₹ 8,065",3 BHK Flats,"7 Towers , 392 Units",1.0,13.0,1.0,3.0,,,,,,,,,,,,,,
"3 BHK 1764 Sq-ft Flat/Apartment  For Rent in Keshar Kadam,","₹38,000","Thaltej, Ahmedabad",3.0,3.0,,Immediately,Semi-Furnished,"₹38,000","Kesar Kadam, Opp.gulmohar Party Plot, Zydus Road, Thaltej, Ahmedabad, Thaltej, Ahmedabad - West, Gujarat",Semi-Furnished,https://www.magicbricks.com/propertyDetails/3-BHK-1764-Sq-ft-Multistorey-Apartment-FOR-Rent-Thaltej-in-Ahmedabad&id=4d423738383939303635,,930sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹41/sqft,Keshar Kadam,5(Out of 13 Floors),West,2.0,,"₹80, 000","Thaltej metro station, zydus hospital.",Vitrified,Garden/Park,New Construction,24 Hours Available,No/Rare Powercut,₹ 1.15 Cr Onwards,Keshar Developers,Store,"Fire Fighting Equipment,Meditation Area,Indoor Games Room,Kids play area,Grand Entrance lobby,Jogging and Strolling Track,Reserved Parking,Gymnasium","₹ 6,519 - ₹ 6,859",3 BHK Flats,"3 Towers , 147 Units",1.0,14.0,1.0,2.0,,,,,,,,,,,,,,
"3 BHK 1600 Sq-ft Flat/Apartment  For Rent in Shakti 140,","₹35,000","Thaltej, Ahmedabad",3.0,3.0,,Immediately,Semi-Furnished,"₹35,000|₹2,000Monthly Maintenance","Bhaikakanagar Near Acropolis Mall, Thaltej, Ahmedabad - West, Gujarat",Semi-Furnished,https://www.magicbricks.com/propertyDetails/3-BHK-1600-Sq-ft-Multistorey-Apartment-FOR-Rent-Thaltej-in-Ahmedabad&id=4d423831393531313537,,900sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹39/sqft,Shakti 140,3(Out of 13 Floors),East,2.0,,"₹70, 000",Acropolis Mall Hebatpur,"Vitrified, Ceramic Tiles, Marble, Normal Tiles/Kotah Stone, Granite, Marbonite",Main Road,5 to 10 years,24 Hours Available,No/Rare Powercut,₹ 1.0 Cr - ₹ 1.42 Cr,Shakti Homes Pvt. Ltd.,None of these,"Kids Play Area,Flower Gardens,CCTV Camera,Internet/Wi-Fi Connectivity,Maintenance Staff,Vaastu Compliant,Security,Reserved Parking,Park,Lift,Power Back Up",,"2, 3 BHK Flat","1 Tower , 102 Units",1.0,,1.0,2.0,1 Covered,,,,,,,,,,,,,
"2 BHK 1250 Sq-ft Flat/Apartment  For Rent in Shilp Saral,","₹20,000","Bopal, Ahmedabad",2.0,2.0,,Immediately,Semi-Furnished,"₹20,000","Near Bopal Ghuma main road, Bopal, Ahmedabad - West, Gujarat",Semi-Furnished,https://www.magicbricks.com/propertyDetails/2-BHK-1250-Sq-ft-Multistorey-Apartment-FOR-Rent-Bopal-in-Ahmedabad&id=4d423833323836393137,,880sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹23/sqft,Shilp Saral,4(Out of 5 Floors),East,2.0,,"₹40, 000",Near School hospital mall grocery store etc,Vitrified,Garden/Park,Less than 5 years,24 Hours Available,No/Rare Powercut,₹ 92.4 Lac - ₹ 1.45 Cr,Shilp Infrastructures,Store,"Maintenance Staff,Visitor Parking,Security,Reserved Parking,Park",,,"5 Towers , 114 Units",1.0,,1.0,2.0,,,,,,,,,,,,,,
1 BHK Flat 750 Sq-ft For Rent in,"₹21,000","Gota, Ahmedabad",,,,Immediately,Furnished,"₹21,000","Gota, Ahmedabad - North, Gujarat",Furnished,https://www.magicbricks.com/propertyDetails/1-BHK-750-Sq-ft-Multistorey-Apartment-FOR-Rent-Gota-in-Ahmedabad&id=4d423833323833343031,,750sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹28/sqft,,4(Out of 10 Floors),,,New Construction,"₹42, 000",,,,New Construction,,,,,,,,,,1.0,,,,,,1.0,,,1.0,,,,,,,,
3 BHK Flat 1425 Sq-ft For Rent in,"₹30,000","South Bopal, Ahmedabad",3.0,3.0,,Immediately,Semi-Furnished,"₹30,000|₹2,500Monthly Maintenance","South Bopal, Ahmedabad, South Bopal, Ahmedabad - West, Gujarat",Semi-Furnished,https://www.magicbricks.com/propertyDetails/3-BHK-1425-Sq-ft-Multistorey-Apartment-FOR-Rent-South-Bopal-in-Ahmedabad&id=4d423833323836383331,,758sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹40/sqft,,2(Out of 14 Floors),East,2.0,Less than 5 years,"₹60, 000","Nr sobo center, sp ring road",Vitrified,Main Road,Less than 5 years,24 Hours Available,No/Rare Powercut,,,None of these,,,,,,1.0,1.0,2.0,1 Covered,,,,,,,,,,,,,
"4 BHK  500 Sq-yrd For Rent in Gala Lotus Villa,",₹1.2 Lac,"Gokuldham, Ahmedabad",4.0,4.0,,Immediately,Furnished,₹1.2 Lac,"gokuldham, Gokuldham, Ahmedabad - Ahmedabad Suburban, Gujarat",Furnished,https://www.magicbricks.com/propertyDetails/4-BHK-500-Sq-yrd-Villa-FOR-Rent-GokulDham-in-Ahmedabad&id=4d423830303234383533,,350sqyrdsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹329/sqyrd,,,East,,Less than 5 years,₹2.3 Lac,4 bhk villa available for Rent in gala lotus in gokuldham,Vitrified,"Pool, Garden/Park",Less than 5 years,24 Hours Available,No/Rare Powercut,₹ 1.58 Cr - ₹ 2.09 Cr,,Servant Room,"Fire Fighting Equipment,Cycling & Jogging Track,Retail Boulevard (Retail Shops),Multipurpose Courts,Meditation Area,Kids Play Area,Indoor Games Room,Event Space & Amphitheatre,Waste Disposal,Maintenance Staff,Visitor Parking,Water Storage,Security,Reserved Parking,Park,Gymnasium,Club House,Power Back Up",,,,1.0,,2.0,,2 Covered,,,,", 43 Units",,,,,,,,,
"2 BHK Flat 1125 Sq-ft For Rent in Corus Exotica,","₹18,000","Chandlodia, Ahmedabad",2.0,2.0,,Immediately,Semi-Furnished,"₹18,000","E block Corus Exotica - Opp Shyamtirth Silver star cross road, Chandlodia, Ahmedabad - North, Gujarat",Semi-Furnished,https://www.magicbricks.com/propertyDetails/2-BHK-1125-Sq-ft-Multistorey-Apartment-FOR-Rent-Chandlodia-in-Ahmedabad&id=4d423833343934373837,,1125sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹16/sqft,Corus Exotica,7(Out of 7 Floors),West,,Less than 5 years,,Silver Star Cross Road,Ceramic Tiles,Garden/Park,Less than 5 years,,,₹ 62.0 Lac Onwards,,Store,"Community Hall,Fire Fighting Equipment,Shopping center,Kids play area,CCTV Camera,Security,Reserved Parking,Park,Gymnasium,Swimming Pool,Rain Water Harvesting,Lift,Power Back Up",,2 BHK Flats,"5 Towers , 145 Units",1.0,,,,,,,,,,,,,,,,,
"3 BHK 2993 Sq-ft Flat/Apartment  For Rent in Ganesh Maple Tree Garden Homes,","₹75,000","Thaltej, Ahmedabad",3.0,3.0,2993sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹25/sqft,Immediately,Unfurnished,"₹75,000","nr surdhara satadhar road saal hospital Thaltej, Thaltej, Ahmedabad - West, Gujarat",Unfurnished,https://www.magicbricks.com/propertyDetails/3-BHK-2993-Sq-ft-Multistorey-Apartment-FOR-Rent-Thaltej-in-Ahmedabad&id=4d423737363731313831,2.0,,Ganesh Maple Tree Garden Homes,Ground(Out of 14 Floors),East,,,₹1.4 Lac,nr surdhara satadhar road saal hospital Thaltej,"Mosaic, Vitrified, Ceramic Tiles, Marble, Granite","Garden/Park, Pool, Main Road",New Construction,24 Hours Available,No/Rare Powercut,₹ 1.44 Cr - ₹ 2.94 Cr,Ganesh Housing Corporation Ltd.,"Puja Room, Study, Store","Community Hall,Fire Fighting Equipment,Meditation Area,Library And Business Centre,Indoor Squash & Badminton Courts,Indoor Games Room,AEROBICS ROOM,Kids play area,Water Front,Wine Cellar,Fire Sprinklers,Health club with Steam / Jaccuzi,Mini Cinema Theatre,Garden View,Jogging and Strolling Track,Banquet Hall,Waste Disposal,Visitor Parking,Water Storage,Reserved Parking,Park,Gymnasium,Club House,Lift,Power Back Up","₹ 9,190 - ₹ 10,443",3 BHK Flats,"12 Towers , 554 Units",,,,,,,,,,,Freehold,,,,,,,
"3 BHK 2778 Sq-ft Flat/Apartment  For Rent in Safal Riviera Aspire,","₹80,000","Shela, Ahmedabad",3.0,3.0,2778sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹29/sqft,Immediately,Furnished,"₹80,000|₹1Monthly Maintenance","Shela, Ahmedabad - Ahmedabad Suburban, Gujarat",Furnished,https://www.magicbricks.com/propertyDetails/3-BHK-2778-Sq-ft-Multistorey-Apartment-FOR-Rent-Shela-in-Ahmedabad&id=4d423832383131323835,,,Safal Riviera Aspire,17(Out of 19 Floors),East,,New Construction,₹1.6 Lac,sun south wind in a new property and all market and school near bay all amenities available in sosaytis nar by bus stop,,"Pool, Garden/Park, Main Road",New Construction,,,₹ 1.61 Cr - ₹ 3.88 Cr,Safal Goyal Realty LLP,"Puja Room, Store, Study","Aesthetically designed landscape garden,Fire Fighting Equipment,Multipurpose Courts,Meditation Area,Indoor Games Room,Event Space & Amphitheatre,Kids play area,Security,Gymnasium,Swimming Pool","₹ 5,300 - ₹ 8,279","3, 4, 5 BHK Penthouse, Flats","2 Towers , 240 Units",1.0,,,,,,,,,,,,,,,,,
"2 BHK 1404 Sq-ft Flat/Apartment  For Rent in Shree Narayan Exotica,","₹26,000","Memnagar, Ahmedabad",2.0,2.0,,Immediately,Unfurnished,"₹26,000|₹2,000Monthly Maintenance","Memnagar, Ahmedabad, Memnagar, Ahmedabad - West, Gujarat",Unfurnished,https://www.magicbricks.com/propertyDetails/2-BHK-1404-Sq-ft-Multistorey-Apartment-FOR-Rent-Memnagar-in-Ahmedabad&id=4d423833373534373633,,1000sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹26/sqft,Shree Narayan Exotica,5(Out of 10 Floors),East,2.0,,"₹52, 000",near shobhash chowk,Vitrified,"Garden/Park, Main Road",New Construction,24 Hours Available,No/Rare Powercut,₹ 82.0 Lac - ₹ 91.0 Lac,,"Puja Room, Study, Store",,"₹ 5,840 - ₹ 6,481",2 BHK Flats,,1.0,10.0,2.0,2.0,"2 Covered, 1 Open",,,,,,,,,,,,,
"3 BHK 1936 Sq-ft Flat/Apartment  For Rent in Adani Archway,","₹35,000","Jagatpur, Ahmedabad",3.0,3.0,,Immediately,Unfurnished,"₹35,000","Final Plot no. 19 Rev. Survey no. 131P of TP scheme no. 34, Ahmedabad City, Ahmedabad, Gujarat, Jagatpur, Ahmedabad - North, Gujarat",Unfurnished,https://www.magicbricks.com/propertyDetails/3-BHK-1936-Sq-ft-Multistorey-Apartment-FOR-Rent-Jagatpur-in-Ahmedabad&id=4d423830373738303235,,1100sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹32/sqft,Adani Archway,5(Out of 14 Floors),East,2.0,,"₹70, 000",Adnai archway nr jagatpur flyover jagatpur gota ahmedabad,Vitrified,Garden/Park,New Construction,24 Hours Available,No/Rare Powercut,₹ 1.68 Cr Onwards,Adani Realty,Store,"Kids Splash Pool,Multipurpose Courts,Meditation Area,Indoor Games Room,Kids play area,Pet park,Barbeque space,Multipurpose Hall,Mini Cinema Theatre,Jogging and Strolling Track,Gymnasium,Swimming Pool,Club House","₹ 5,971 - ₹ 7,231","3, 4 BHK Flats","7 Towers , 280 Units",1.0,14.0,1.0,2.0,,,,,,,,,,,,,,
"2 BHK 999 Sq-ft Flat/Apartment  For Rent in Aaryan Gloria,","₹20,000","South Bopal, Ahmedabad",2.0,2.0,,Immediately,Semi-Furnished,"₹20,000","Near Sobo centre south Bopal Ahmedabad, South Bopal, Ahmedabad - West, Gujarat",Semi-Furnished,https://www.magicbricks.com/propertyDetails/2-BHK-999-Sq-ft-Multistorey-Apartment-FOR-Rent-South-Bopal-in-Ahmedabad&id=4d423833323836383337,,800sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹25/sqft,Aaryan Gloria,5(Out of 12 Floors),East,2.0,,"₹40, 000",near Sobo centre south Bopal Ahmedabad,Vitrified,"Garden/Park, Main Road",New Construction,24 Hours Available,No/Rare Powercut,₹ 48.6 Lac - ₹ 70.0 Lac,Aaryan Infrabuild Pvt. Ltd.,Store,"Fire Fighting Equipment,Meditation Area,Kids Play Area,Indoor Games Room,Flower Gardens,Earth quake resistant,Banquet Hall,Maintenance Staff,Intercom Facility,Water Storage,Security,Reserved Parking,Park,Gymnasium,Club House,Lift","₹ 4,115 - ₹ 5,208","2, 3 BHK Flats","12 Towers , 656 Units",,,1.0,2.0,,,,,,,,,,,,,,
3 BHK Flat 1600 Sq-ft For Rent in,"₹39,500","Navrangpura, Ahmedabad",3.0,3.0,,Immediately,Furnished,"₹39,500|₹1,000Monthly Maintenance","Sarasvat, Navrangpura, Ahmedabad - Central, Gujarat",Furnished,https://www.magicbricks.com/propertyDetails/3-BHK-1600-Sq-ft-Multistorey-Apartment-FOR-Rent-Navrangpura-in-Ahmedabad&id=4d423534303736383235,2.0,1200sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹33/sqft,,3(Out of 5 Floors),East,1.0,5 to 10 years,"₹70, 000","3 Bhk Furnish Apartment On Rent At Vijay Cross Road,Kichenfurnish,Bed,",Vitrified,Main Road,5 to 10 years,24 Hours Available,No/Rare Powercut,,,Store,,,,,,,1.0,,1 Covered,,,,,,,,,,,,,
"2 BHK 1140 Sq-ft Flat/Apartment  For Rent in Sheladia Eris,","₹28,000","Shela, Ahmedabad",2.0,2.0,,Immediately,Semi-Furnished,"₹28,000|₹2,000Monthly Maintenance","near Shanti Asiatic School shela, Shela, Ahmedabad - Ahmedabad Suburban, Gujarat",Semi-Furnished,https://www.magicbricks.com/propertyDetails/2-BHK-1140-Sq-ft-Multistorey-Apartment-FOR-Rent-Shela-in-Ahmedabad&id=4d423833313533303237,,700sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹40/sqft,Sheladia Eris,12(Out of 14 Floors),East,2.0,,"₹56, 000",near Shanti Asiatic School shela ahmedabad,Vitrified,"Garden/Park, Main Road",Less than 5 years,24 Hours Available,No/Rare Powercut,₹ 43.1 Lac - ₹ 56.4 Lac,Sheladia Projects,Store,"Fire Fighting Equipment,Multipurpose Courts,Kids Club,Smart Home,Water Front,CCTV Camera,Solar Energy,Premium branded fittings,Large Open space,Earth quake resistant,Skydeck,Jogging and Strolling Track,Piped Gas,Conference Room,Banquet Hall,Laundry Service,Waste Disposal,Maintenance Staff,Intercom Facility,Visitor Parking,Air Conditioned,Service/Goods Lift,Vaastu Compliant,Water Storage,Security,Reserved Parking,Park,Gymnasium,Swimming Pool,Club House,Rain Water Harvesting,Lift,Power Back Up","₹ 3,750 - ₹ 4,652","2, 3 BHK Flats","10 Towers , 575 Units",1.0,,1.0,2.0,,,,,,,,,,,,,,
"2 BHK 145 Sq-yrd Flat/Apartment  For Rent in Anand Sky Lyf,","₹15,000","Chandkheda, Ahmedabad",2.0,2.0,,Immediately,Semi-Furnished,"₹15,000","Nr K b Royal Phonix, Chandkheda, Ahmedabad - North, Gujarat",Semi-Furnished,https://www.magicbricks.com/propertyDetails/2-BHK-145-Sq-yrd-Multistorey-Apartment-FOR-Rent-Chandkheda-in-Ahmedabad&id=4d423734323738353733,,95sqyrdsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹158/sqyrd,Anand Sky Lyf,6(Out of 10 Floors),East,,,,Nr K B Royal Phonix,Vitrified,"Garden/Park, Main Road",New Construction,24 Hours Available,No/Rare Powercut,₹ 59.7 Lac - ₹ 72.0 Lac,Anand Skylyf,Store,"Aesthetically designed landscape garden,CCTV Camera,Earth quake resistant,Gymnasium,Lift,Power Back Up",,,"2 Towers , 250 Units",1.0,,,,,,,,,,Freehold,,,,,,,
3 BHK Flat 1585 Sq-ft For Rent in,"₹40,000","Vastrapur, Ahmedabad",3.0,3.0,,Immediately,Semi-Furnished,"₹40,000","Near Alpha One Mall Vastrapur, Vastrapur, Ahmedabad - West, Gujarat",Semi-Furnished,https://www.magicbricks.com/propertyDetails/3-BHK-1585-Sq-ft-Multistorey-Apartment-FOR-Rent-Vastrapur-in-Ahmedabad&id=4d423833303131383833,,885sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹45/sqft,,,North,2.0,Less than 5 years,"₹80, 000",Near Alpha One Mall Vastrapur,Vitrified,,Less than 5 years,24 Hours Available,No/Rare Powercut,,,None of these,,,,,,,1.0,2.0,1 Covered,,,,,,,,,,,,,
"2 BHK 1280 Sq-ft Flat/Apartment  For Rent in Swati Gardenia,","₹25,000","Prahlad Nagar, Ahmedabad",2.0,2.0,,Immediately,Semi-Furnished,"₹25,000","Prahlad Nagar, Ahmedabad, Prahlad Nagar, Ahmedabad - West, Gujarat",Semi-Furnished,https://www.magicbricks.com/propertyDetails/2-BHK-1280-Sq-ft-Multistorey-Apartment-FOR-Rent-Prahlad-Nagar-in-Ahmedabad&id=4d423833343932363735,,775sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹32/sqft,Swati Gardenia,2(Out of 10 Floors),East,2.0,,"₹50, 000",Makarba Ahmedabad,Vitrified,Garden/Park,5 to 10 years,24 Hours Available,No/Rare Powercut,₹ 56.3 Lac - ₹ 74.9 Lac,Swathi Procon,None of these,"Cycling & Jogging Track,Activity Deck4,Multipurpose Courts,Meditation Area,Kids Play Area,Indoor Squash & Badminton Courts,Indoor Games Room,CCTV Camera,Multipurpose Hall,Grand Entrance lobby,Earth quake resistant,Piped Gas,DTH Television Facility,Intercom Facility,Vaastu Compliant,Security,Reserved Parking,Gymnasium,Swimming Pool,Club House,Rain Water Harvesting,Lift,Power Back Up",,"2, 3 BHK Flat","5 Towers , 196 Units",1.0,1.0,1.0,2.0,1 Covered,,,,,,,,,,,,,
"3 BHK Flat 1701 Sq-ft For Rent in Siddhipriya Imperial,","₹25,000","Ghuma, Ahmedabad",3.0,3.0,1701sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹15/sqft,Immediately,Unfurnished,"₹25,000","Ghuma, Ahmedabad - Ahmedabad Suburban, Gujarat",Unfurnished,https://www.magicbricks.com/propertyDetails/3-BHK-1701-Sq-ft-Multistorey-Apartment-FOR-Rent-Ghuma-in-Ahmedabad&id=4d423832383132353537,,,Siddhipriya Imperial,12(Out of 13 Floors),East,,New Construction,,,,"Garden/Park, Main Road",New Construction,,,₹ 58.2 Lac - ₹ 79.9 Lac,Siddhipriya Projects,Store,"Cycling & Jogging Track,Indoor Games Room,Library,Kids play area,Multipurpose Hall,Grand Entrance lobby,Mini Cinema Theatre,Security,Reserved Parking,Park,Gymnasium,Club House,Lift,Power Back Up",,3 BHK Flats,"3 Towers , 360 Units",1.0,,,,,,,,,,,,,,,,,
3 BHK  180 Sq-yrd For Rent in,"₹23,000","Ghuma, Ahmedabad",3.0,3.0,,Immediately,Semi-Furnished,"₹23,000|₹2,000Monthly Maintenance","near Kabir enclave ghuma ahmedabad, Ghuma, Ahmedabad - Ahmedabad Suburban, Gujarat",Semi-Furnished,https://www.magicbricks.com/propertyDetails/3-BHK-180-Sq-yrd-Villa-FOR-Rent-Ghuma-in-Ahmedabad&id=4d423833363639363139,,170sqyrdsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹135/sqyrd,,,East,,5 to 10 years,"₹46, 000",near Kabir enclave ghuma ahmedabad,Vitrified,"Garden/Park, Main Road",5 to 10 years,24 Hours Available,No/Rare Powercut,,,Store,,,,,1.0,,,,1 Open,,,,,,,,,,,,,
"3 BHK 2135 Sq-ft Flat/Apartment  For Rent in Indraprasth 5,","₹55,000","Prahlad Nagar, Ahmedabad",3.0,3.0,,Immediately,Furnished,"₹55,000","Prahladnagar, Prahlad Nagar, Ahmedabad - West, Gujarat",Furnished,https://www.magicbricks.com/propertyDetails/3-BHK-2135-Sq-ft-Multistorey-Apartment-FOR-Rent-Prahlad-Nagar-in-Ahmedabad&id=4d423832383132373039,,1350sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹41/sqft,Indraprasth 5,3(Out of 5 Floors),East,1.0,,"₹55, 000","Corporate Road, Prahladnagar",Vitrified,Garden/Park,10 to 15 years,24 Hours Available,No/Rare Powercut,₹ 1.60 Cr Onwards,Deep Group of Companies,Store,"Fire Fighting Equipment,Kids Play Area,Security,Reserved Parking,Rain Water Harvesting,Lift,Power Back Up",,3 BHK Flats,"11 Towers , 220 Units",1.0,,1.0,,,,,,,,,,,,,,,
"3 BHK 1470 Sq-ft Flat/Apartment  For Rent in Safal Parisar 1,","₹38,000","South Bopal, Ahmedabad",3.0,3.0,,Immediately,Unfurnished,"₹38,000|₹1Monthly Maintenance","near to sobo center, South Bopal, Ahmedabad - West, Gujarat",Unfurnished,https://www.magicbricks.com/propertyDetails/3-BHK-1470-Sq-ft-Multistorey-Apartment-FOR-Rent-South-Bopal-in-Ahmedabad&id=4d423334353231323933,,1200sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹32/sqft,Safal Parisar 1,7(Out of 10 Floors),East,2.0,,"₹76, 000",opposite orchid center,"Vitrified, Ceramic Tiles",Garden/Park,Less than 5 years,24 Hours Available,No/Rare Powercut,₹ 52.5 Lac - ₹ 75.0 Lac,Safal Constructions India Pvt. Ltd.,Store,"Fire Fighting Equipment,Cycling & Jogging Track,Kids Play Area,Indoor Games Room,Event Space & Amphitheatre,Intercom Facility,Vaastu Compliant,Reserved Parking,Gymnasium,Club House,Lift,Power Back Up","₹ 4,488 - ₹ 5,556","2, 3 BHK Flats","12 Towers , 480 Units",,,,2.0,,City Municipal Corporation,,,,,,,,,,,,
