Title,Rental_Price,Location,Beds,Baths,Balcony,Carpet Area,Developer,Project,Floor,Status,Facing,Furnished Status,Age Of Construction,Rental Value,Address,Landmarks,Furnishing,Flooring,Overlooking,Age of Construction,Amenities,Price,Price per sqft,Configuration,Tower & Unit,link,Super Built-up Area,Security Deposit,Balconies,Covered Parking,Additional Rooms,Lift,Car parking,Water Availability,Status of Electricity,Floors allowed for construction,Bed,Bath,Lifts,Unit,Tower,Authority Approval,Type of Ownership,RERA ID,Plot Area,No of Open Sides,Any Construction done,Boundary Wall,Transaction Type,Additional Features,Approved,Floors allowed,Floor allowed
"3 BHK 1760 Sq-ft Flat/Apartment  For Rent in Mantri Lithos,","₹60,000","Nagavara, Bangalore",3.0,3.0,,1500sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹40/sqft,Mantri Developers Pvt. Ltd.,Mantri Lithos,4(Out of 18 Floors),Immediately,East,Semi-Furnished,,"₹60,000|₹5,000Monthly Maintenance","manaytha  tech park, Nagavara, Bangalore - Central, Karnataka",manyatha tech park,Semi-Furnished,"Vitrified, Granite",Main Road,5 to 10 years,"Rentable Community Space,Multipurpose Courts,Meditation Area,Library And Business Centre,Kids Play Area,Indoor Games Room,Coffee Lounge & Restaurants,Maintenance Staff,Intercom Facility,Vaastu Compliant,Security,Reserved Parking,Park,Gymnasium,Swimming Pool,Club House,Rain Water Harvesting,Lift,Power Back Up",₹ 1.80 Cr - ₹ 4.10 Cr,,"2, 3 BHK Flat | 3 BHK Penthouse","8 Towers , 547 Units",https://www.magicbricks.com/propertyDetails/3-BHK-1760-Sq-ft-Multistorey-Apartment-FOR-Rent-Nagavara-in-Bangalore&id=4d423738393238343439,,₹4.0 Lac,2.0,1.0,"Study, Store, Servant Room",2.0,,24 Hours Available,No/Rare Powercut,,,,2.0,,,,,,,,,,,,,,
1 BHK  400 Sq-ft For Rent in,"₹10,000","Kodhandarama nagar Halanayakanahalli, Bangalore",,,,350sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹29/sqft,,,,Immediately,East,Semi-Furnished,5 to 10 years,"₹10,000","Halanayakanahalli, Bangalore, Bangalore, Karnataka",,Semi-Furnished,Ceramic Tiles,,5 to 10 years,,,,,,https://www.magicbricks.com/propertyDetails/1-BHK-400-Sq-ft-Residential-House-FOR-Rent-in-Bangalore&id=4d423833353835393131,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,
1 BHK Residential House  For Rent,"₹5,000","Tannery Road, Bangalore",,,1.0,1000sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹5/sqft,,,,Immediately,,Unfurnished,New Construction,"₹5,000|₹2,000Monthly Maintenance","Tannery Road, Bangalore - East, Karnataka",,Unfurnished,,,New Construction,,,,,,https://www.magicbricks.com/propertyDetails/1-BHK-1000-Sq-ft-Residential-House-FOR-Rent-Tannery-Road-in-Bangalore&id=4d423833353835383735,,"₹10, 000",,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,
"2 BHK  900 Sq-ft For Rent in Rainbow Residency 1,","₹14,000","Hennagara Main Road, Bangalore",2.0,,,,,,,Immediately,East,Semi-Furnished,5 to 10 years,"₹14,000","45, Ist Main Road Near B.S Carmel School, Hennagara Main Road, Bangalore - South, Karnataka","600 meters from NH Hospital, 2KM from Bommasandra Metro Station",Semi-Furnished,Granite,Main Road,5 to 10 years,,₹ 79.3 Lac - ₹ 95.9 Lac,,,,https://www.magicbricks.com/propertyDetails/2-BHK-900-Sq-ft-Residential-House-FOR-Rent-Hennagara-Main-Road-in-Bangalore&id=4d423833363733353531,900sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹16/sqft,"₹50, 000",,1.0,"Puja Room, Store",,1 Covered,24 Hours Available,No/Rare Powercut,1.0,,1.0,,", 100 Units",,,,,,,,,,,,,
"3 BHK 1389 Sq-ft Flat/Apartment  For Rent in Godrej Nurture,","₹50,000","Electronics City Phase 1, Bangalore",3.0,2.0,1.0,1389sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹36/sqft,Godrej Properties,Godrej Nurture,15(Out of 21 Floors),,West,Semi-Furnished,Less than 5 years,"₹50,000","its A 15, 000 Rs, Fixed Service Fee for All The Tenants, Electronics City Phase 1, Bangalore - South, Karnataka","its A 15, 000 Rs Fixed Service Fee For All Tenants",Semi-Furnished,Vitrified,Garden/Park,Less than 5 years,"Cycling & Jogging Track,Multipurpose Courts,Kids Play Pool With Water Slides,Kids Play Area,Indoor Games Room,Event Space & Amphitheatre,Arts & Craft Studio,AEROBICS ROOM,Multipurpose Hall,Park,Gymnasium,Swimming Pool,Club House",₹ 77.7 Lac - ₹ 2.02 Cr,,"1, 2, 3 BHK Flat","7 Towers , 684 Units",https://www.magicbricks.com/propertyDetails/3-BHK-1389-Sq-ft-Multistorey-Apartment-FOR-Rent-Electronics-City-Phase-1-in-Bangalore&id=4d423833363733363039,,,,,Study,,,,,,,,,,,,,,,,,,,,,,
"3 BHK 2007 Sq-ft Flat/Apartment  For Rent in Purva Atmosphere,","₹90,000","Thanisandra Main Road, Bangalore",3.0,4.0,1.0,1450sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹62/sqft,Puravankara Ltd.,Purva Atmosphere,20(Out of 34 Floors),Immediately,North,Furnished,,"₹90,000|₹7,500Monthly Maintenance","Thanisandra Main Road, Thanisandra Main Road, Bangalore - North, Karnataka",Manyata tech park,Furnished,"Vitrified, Wooden, Marble","Pool, Main Road",Less than 5 years,"Garden View,Jogging and Strolling Track,Piped Gas,DTH Television Facility,Internet/Wi-Fi Connectivity,Waste Disposal,Maintenance Staff,Intercom Facility,Visitor Parking,Vaastu Compliant,Water Storage,Security,Reserved Parking,Park,Swimming Pool,Club House,Lift,Power Back Up",₹ 2.0 Cr - ₹ 4.0 Cr,"₹ 10,973 - ₹ 1.4 Lac","2, 3, 4 BHK Flats","3 Towers , 569 Units",https://www.magicbricks.com/propertyDetails/3-BHK-2007-Sq-ft-Multistorey-Apartment-FOR-Rent-Thanisandra-Main-Road-in-Bangalore&id=4d423832353632333639,,₹4.0 Lac,,2.0,Servant Room,4.0,,24 Hours Available,No/Rare Powercut,,,,4.0,,,,,,,,,,,,,,
1 BHK Builder Floor 500 Sq-ft For Rent in,"₹10,000","Bammanahalli, Bangalore",,,,,,,Ground(Out of 5 Floors),Immediately,,Unfurnished,,"₹10,000","Bammanahalli, Bangalore - Bangalore Rural, Karnataka",,Unfurnished,,,,,,,,,https://www.magicbricks.com/propertyDetails/1-BHK-500-Sq-ft-Builder-Floor-Apartment-FOR-Rent-Bammanahalli-in-Bangalore&id=4d423734333530343839,500sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹20/sqft,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,
"4 BHK Flat 3360 Sq-ft For Rent in Brigade Lakefront,",₹1.0 Lac,"Whitefield, Bangalore",4.0,4.0,,2900sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹34/sqft,Brigade Enterprises Ltd.,Brigade Lakefront,12(Out of 14 Floors),Immediately,North - East,Semi-Furnished,5 to 10 years,"₹1 Lac|₹19,000Monthly Maintenance","epip zone, Whitefield, Bangalore - East, Karnataka",near SAP LAB,Semi-Furnished,,"Pool, Garden/Park, Main Road",5 to 10 years,"Activity Deck4,Retail Boulevard (Retail Shops),Recreational Pool,Outdoor Tennis Courts,Multipurpose Courts,Meditation Area,Library And Business Centre,Kids Play Pool With Water Slides,Kids Play Area,Kids Club,Indoor Squash & Badminton Courts,Indoor Games Room,Flower Gardens,Event Space & Amphitheatre,Early Learning Centre,Bank & ATM,Coffee Lounge & Restaurants,AEROBICS ROOM,Outdoor Tennis Courts,Piped Gas,Conference Room,Banquet Hall,Internet/Wi-Fi Connectivity,Intercom Facility,Visitor Parking,Service/Goods Lift,Vaastu Compliant,Private Terrace/Garden,Water Storage,Security,Reserved Parking,Park,Gymnasium,Swimming Pool,Club House,Rain Water Harvesting,Lift,Power Back Up",₹ 2.07 Cr - ₹ 5.97 Cr,,"2, 3, 4 BHK Flat","6 Towers , 336 Units",https://www.magicbricks.com/propertyDetails/4-BHK-3360-Sq-ft-Multistorey-Apartment-FOR-Rent-whitefield-in-Bangalore&id=4d423639303638363239,,₹3.0 Lac,2.0,,"Store, Study, Servant Room",,,,,,,,,,,,,,,,,,,,,,
"1 BHK Flat 1100 Sq-ft For Rent in Sri Moonstone Park,","₹12,000","Hoodi, Bangalore",,,1.0,1100sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹11/sqft,Srinidhi Design Build Pvt. Ltd.,Sri Moonstone Park,5(Out of 9 Floors),Immediately,South,Furnished,New Construction,"₹12,000","hoodi Bangalore, Hoodi, Bangalore - East, Karnataka",,Furnished,,"Pool, Garden/Park, Main Road",New Construction,"Flower Gardens,Laundry Service,Waste Disposal,Maintenance Staff,Service/Goods Lift,Water Storage,Security,Gymnasium,Club House,Rain Water Harvesting,Lift",₹ 1.0 Cr - ₹ 1.01 Cr,,2 BHK Flats,"1 Tower , 83 Units",https://www.magicbricks.com/propertyDetails/1-BHK-1100-Sq-ft-Multistorey-Apartment-FOR-Rent-Hoodi-in-Bangalore&id=4d423832383138343437,,,,,"Puja Room, Store, Study, Servant Room",,,,,,1.0,1.0,,,,,,,,,,,,,,,
1 BHK Residential House  For Rent,"₹10,000","Vyalikaval, Bangalore",,,,600sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹17/sqft,,,1(Out of 1 Floors),Immediately,East,Unfurnished,10 to 15 years,"₹10,000|₹750Monthly Maintenance","Vyalikaval, Bangalore - Central, Karnataka",,Unfurnished,,,10 to 15 years,,,,,,https://www.magicbricks.com/propertyDetails/1-BHK-600-Sq-ft-Residential-House-FOR-Rent-Vyalikaval-in-Bangalore&id=4d423633313534373439,,,,,Puja Room,,,,,,1.0,1.0,,,,,,,,,,,,,,,
2 BHK Residential House  For Rent,"₹12,000","Kempegowda Nagar, Bangalore",2.0,,,,,,1(Out of 5 Floors),Immediately,,Furnished,,"₹12,000","Kempegowda Nagar, Bangalore - West, Karnataka",,Furnished,,,,,,,,,https://www.magicbricks.com/propertyDetails/2-BHK-900-Sq-ft-Residential-House-FOR-Rent-Kempegowda-Nagar-in-Bangalore&id=4d423831343537373335,900sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹13/sqft,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
"4 BHK Flat 2310 Sq-ft For Rent in Sobha Windsor,","₹85,000","Whitefield, Bangalore",4.0,4.0,,2100sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹40/sqft,SOBHA Limited,Sobha Windsor,14(Out of 20 Floors),Immediately,West,Semi-Furnished,,"₹85,000|₹6,000Monthly Maintenance","Sobha Windsor, Flat No2143 VIJAYANAGARA, WHITEFIELD IMMADIHALLI MAIN ROAD, NAGONDANAHALLI, BENGALURU KARNATAKA-560067, Whitefield, Bangalore - East, Karnataka","Vijayanagara, whitefield.",Semi-Furnished,"Vitrified, Wooden, Ceramic Tiles",Pool,New Construction,"Sand pit,Badminton court,Lawn with pathway,Aesthetically designed landscape garden,Cricket net practice,Half basketball court,Flower Gardens,Kids play area,Mini Cinema Theatre,Outdoor Tennis Courts,Jogging and Strolling Track,Security,Reserved Parking,Park,Gymnasium,Swimming Pool,Club House,Rain Water Harvesting,Lift",₹ 2.26 Cr - ₹ 4.09 Cr,"₹ 11,340 - ₹ 20,390","3, 4 BHK Flats","11 Towers , 739 Units",https://www.magicbricks.com/propertyDetails/4-BHK-2310-Sq-ft-Multistorey-Apartment-FOR-Rent-whitefield-in-Bangalore&id=4d423737373236363031,,₹5.0 Lac,2.0,1.0,"Puja Room, Study, Store, Servant Room",2.0,,24 Hours Available,No/Rare Powercut,,,,2.0,,,,,,,,,,,,,,
"2 BHK 1057 Sq-ft Flat/Apartment  For Rent in Prestige Jindal City,","₹42,000","Anchepalya, Bangalore",2.0,2.0,1.0,956sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹44/sqft,Prestige Estates Projects Ltd.,Prestige Jindal City,18(Out of 30 Floors),Immediately,North - East,Semi-Furnished,,"₹42,000|₹5,000Monthly Maintenance","Tumkur Road, Bangalore, Anchepalya, Bangalore - West, Karnataka",Jinal hospital,Semi-Furnished,Vitrified,Garden/Park,New Construction,"Fire Fighting Equipment,Meditation Area,Library And Business Centre,Kids Play Area,Indoor Squash & Badminton Courts,Indoor Games Room,Bank & ATM,CCTV Camera,Multipurpose Hall,Mini Cinema Theatre,Outdoor Tennis Courts,Jogging and Strolling Track,Conference Room,Cafeteria/Food Court,Bar/Lounge,Banquet Hall,RO Water System,DTH Television Facility,Internet/Wi-Fi Connectivity,Laundry Service,Waste Disposal,Maintenance Staff,Intercom Facility,Visitor Parking,Air Conditioned,Service/Goods Lift,Vaastu Compliant,Security,Reserved Parking,Park,Gymnasium,Swimming Pool,Club House,Rain Water Harvesting,Lift,Power Back Up",₹ 90.0 Lac - ₹ 1.48 Cr,"₹ 7,621 - ₹ 8,610",3 BHK Flats,"15 Towers , 3571 Units",https://www.magicbricks.com/propertyDetails/2-BHK-1057-Sq-ft-Multistorey-Apartment-FOR-Rent-Anchepalya-in-Bangalore&id=4d423830383035363031,,₹2.6 Lac,,1.0,None of these,3.0,1 Covered,24 Hours Available,No/Rare Powercut,,,,3.0,,,,,,,,,,,,,,
2 BHK Residential House  For Rent,Call for Rent,"Bapuji Layout, Bangalore",2.0,,,,,,1(Out of 1 Floors),Immediately,,Unfurnished,,,"Bapuji Layout, Bangalore - Central, Karnataka",,Unfurnished,,,,,,,,,https://www.magicbricks.com/propertyDetails/2-BHK-1000-Sq-ft-Residential-House-FOR-Rent-Bapuji-Layout-in-Bangalore&id=4d423639303731373237,1000sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
"2 BHK 1202 Sq-ft Flat/Apartment  For Rent in Maithri Shilpitha Sunflower,","₹45,000","Whitefield, Bangalore",2.0,2.0,,,Maithri Developers,Maithri Shilpitha Sunflower,8(Out of 14 Floors),,East,Semi-Furnished,New Construction,"₹45,000|₹6,000Monthly Maintenance","near nalluralli metrostation, Whitefield, Bangalore - East, Karnataka",,Semi-Furnished,,"Pool, Garden/Park, Main Road",New Construction,"Fire Fighting Equipment,Cycling & Jogging Track,Activity Deck4,Retail Boulevard (Retail Shops),Rentable Community Space,Recreational Pool,Outdoor Tennis Courts,Multipurpose Courts,Meditation Area,Library And Business Centre,Kids Play Pool With Water Slides,Kids Play Area,Kids Club,Indoor Squash & Badminton Courts,Indoor Games Room,Guest Accommodation,Flower Gardens,Event Space & Amphitheatre,Early Learning Centre,Dance Studio,Concierge Services,Bank & ATM,Coffee Lounge & Restaurants,Canopy Walk,Barbeque Pit,Arts & Craft Studio,AEROBICS ROOM,Outdoor Tennis Courts,Jogging and Strolling Track,Piped Gas,Conference Room,Cafeteria/Food Court,Bar/Lounge,Banquet Hall,RO Water System,DTH Television Facility,Internet/Wi-Fi Connectivity,Laundry Service,Waste Disposal,Maintenance Staff,Intercom Facility,Visitor Parking,Air Conditioned,Service/Goods Lift,Vaastu Compliant,Private Terrace/Garden,Water Storage,Security,Reserved Parking,Park,Gymnasium,Swimming Pool,Club House,Rain Water Harvesting,Lift,Power Back Up",₹ 1.37 Cr - ₹ 2.04 Cr,,"2, 3 BHK Flat","2 Towers , 396 Units",https://www.magicbricks.com/propertyDetails/2-BHK-1202-Sq-ft-Multistorey-Apartment-FOR-Rent-whitefield-in-Bangalore&id=4d423833363733353735,1202sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹37/sqft,₹2.0 Lac,2.0,,"Puja Room, Store, Study, Servant Room",,,,,,,,,,,,,,,,,,,,,,
"2 BHK 960 Sq-ft Flat/Apartment  For Rent in Prestige Jindal City,","₹42,000","Anchepalya, Bangalore",2.0,2.0,1.0,825sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹51/sqft,Prestige Estates Projects Ltd.,Prestige Jindal City,17(Out of 30 Floors),Immediately,North - East,Semi-Furnished,,"₹42,000|₹5,000Monthly Maintenance","Tumkur Road, Bangalore, Anchepalya, Bangalore - West, Karnataka",Jinal hospital,Semi-Furnished,Vitrified,Garden/Park,New Construction,"Fire Fighting Equipment,Meditation Area,Library And Business Centre,Kids Play Area,Indoor Squash & Badminton Courts,Indoor Games Room,Bank & ATM,CCTV Camera,Multipurpose Hall,Mini Cinema Theatre,Outdoor Tennis Courts,Jogging and Strolling Track,Conference Room,Cafeteria/Food Court,Bar/Lounge,Banquet Hall,RO Water System,DTH Television Facility,Internet/Wi-Fi Connectivity,Laundry Service,Waste Disposal,Maintenance Staff,Intercom Facility,Visitor Parking,Air Conditioned,Service/Goods Lift,Vaastu Compliant,Security,Reserved Parking,Park,Gymnasium,Swimming Pool,Club House,Rain Water Harvesting,Lift,Power Back Up",₹ 90.0 Lac - ₹ 1.48 Cr,"₹ 7,621 - ₹ 8,610",3 BHK Flats,"15 Towers , 3571 Units",https://www.magicbricks.com/propertyDetails/2-BHK-960-Sq-ft-Multistorey-Apartment-FOR-Rent-Anchepalya-in-Bangalore&id=4d423830383036313133,,₹2.6 Lac,,1.0,None of these,3.0,1 Covered,24 Hours Available,No/Rare Powercut,,,,3.0,,,,,,,,,,,,,,
2 BHK 971 Sq-ft Flat/Apartment  For Rent in,"₹42,000","Sarjapur, Bangalore",2.0,2.0,1.0,638sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹66/sqft,,,26(Out of 28 Floors),,North,Semi-Furnished,New Construction,"₹42,000","Prestige City, Bangalore, Sarjapur, Bangalore - South, Karnataka",,Semi-Furnished,,"Pool, Main Road",New Construction,,,,,,https://www.magicbricks.com/propertyDetails/2-BHK-971-Sq-ft-Multistorey-Apartment-FOR-Rent-Sarjapur-in-Bangalore&id=4d423833373537363433,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1 BHK 605 Sq-ft Flat/Apartment  For Rent in Prestige Jindal City,","₹35,000","Nagasandra, Bangalore",,,1.0,500sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹70/sqft,Prestige Estates Projects Ltd.,Prestige Jindal City,19(Out of 29 Floors),Immediately,North - East,Semi-Furnished,,"₹35,000|₹3,000Monthly Maintenance","Anchepalya, Bengaluru, Karnataka 560073, Nagasandra, Bangalore - West, Karnataka",The property is close to christ univeristy college  nagasandra metro,Semi-Furnished,Vitrified,Garden/Park,New Construction,"Fire Fighting Equipment,Meditation Area,Library And Business Centre,Kids Play Area,Indoor Squash & Badminton Courts,Indoor Games Room,Bank & ATM,CCTV Camera,Multipurpose Hall,Mini Cinema Theatre,Outdoor Tennis Courts,Jogging and Strolling Track,Conference Room,Cafeteria/Food Court,Bar/Lounge,Banquet Hall,RO Water System,DTH Television Facility,Internet/Wi-Fi Connectivity,Laundry Service,Waste Disposal,Maintenance Staff,Intercom Facility,Visitor Parking,Air Conditioned,Service/Goods Lift,Vaastu Compliant,Security,Reserved Parking,Park,Gymnasium,Swimming Pool,Club House,Rain Water Harvesting,Lift,Power Back Up",₹ 90.0 Lac - ₹ 1.48 Cr,"₹ 7,621 - ₹ 8,610",3 BHK Flats,"15 Towers , 3571 Units",https://www.magicbricks.com/propertyDetails/1-BHK-605-Sq-ft-Multistorey-Apartment-FOR-Rent-Nagasandra-in-Bangalore&id=4d423830383035353031,,₹1.3 Lac,,1.0,Puja Room,3.0,1 Covered,24 Hours Available,No/Rare Powercut,,1.0,1.0,3.0,,,,,,,,,,,,,,
"1 BHK Flat 510 Sq-ft For Rent in Paradise at Brigade Cornerstone Utopia,","₹35,000","Varthur, Bangalore",,,1.0,,Mysore Projects Private Limited,Paradise at Brigade Cornerstone Utopia,10(Out of 26 Floors),Immediately,South - East,Furnished,New Construction,"₹35,000","Varthur, Varthur, Bangalore - East, Karnataka",,Furnished,,"Garden/Park, Pool, Main Road",New Construction,"Cricket net practice,Outdoor Tennis Courts,Multipurpose Courts,Fire Sprinklers,Solar Energy,Waste Disposal,Security,Gymnasium,Swimming Pool,Lift,Power Back Up",₹ 60.0 Lac - ₹ 1.60 Cr,"₹ 10,820 - ₹ 14,637","1, 2 BHK Studio Apartment, Flats","1 Tower , 1195 Units",https://www.magicbricks.com/propertyDetails/1-BHK-510-Sq-ft-Multistorey-Apartment-FOR-Rent-Varthur-in-Bangalore&id=4d423833353835383933,510sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹69/sqft,₹1.2 Lac,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,
1 BHK Residential House  For Rent,"₹8,000","SMV Layout, Bangalore",,,1.0,500sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹16/sqft,,,2(Out of 2 Floors),Immediately,East,Semi-Furnished,New Construction,"₹8,000|₹200Monthly Maintenance","SMV Layout, Bangalore - West, Karnataka",sri sai baba temple  or kptcl dodabasti,Semi-Furnished,,Main Road,New Construction,,,,,,https://www.magicbricks.com/propertyDetails/1-BHK-500-Sq-ft-Residential-House-FOR-Rent-SMV-LAYOUT-in-Bangalore&id=4d423738393238343633,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,
1 BHK Residential House  For Rent,"₹7,000","Kommaghatta, Bangalore",,,1.0,600sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹12/sqft,,,,,,Furnished,Less than 5 years,"₹7,000","1982 8th cross SRMV 2nd block Kommagatta, Kommaghatta, Bangalore - West, Karnataka",,Furnished,,,Less than 5 years,,,,,,https://www.magicbricks.com/propertyDetails/1-BHK-600-Sq-ft-Residential-House-FOR-Rent-Kommaghatta-in-Bangalore&id=4d423833353835373733,,"₹50, 000",,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,
1 BHK Residential House  For Rent,Call for Rent,"Laxmipura, Bangalore",,,,,,,,Immediately,,Semi-Furnished,,,"Laxmipura, Bangalore - South, Karnataka",,Semi-Furnished,,,,,,,,,https://www.magicbricks.com/propertyDetails/1-BHK-450-Sq-ft-Residential-House-FOR-Rent-Laxmipura-in-Bangalore&id=4d423639303538373139,450sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,
1 BHK Flat 700 Sq-ft For Rent in,"₹35,000","Block 7th Koramangala, Bangalore",,,1.0,650sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹54/sqft,,,3(Out of 4 Floors),,North,Semi-Furnished,5 to 10 years,"₹35,000","Koramangala near Adugodi signal, Block 7th Koramangala, Bangalore - South, Karnataka",Adugodi Bosch,Semi-Furnished,Vitrified,Garden/Park,5 to 10 years,,,,,,https://www.magicbricks.com/propertyDetails/1-BHK-700-Sq-ft-Multistorey-Apartment-FOR-Rent-Koramangala-Block-7-in-Bangalore&id=4d423833373537343731,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,
3 BHK Flat 1850 Sq-ft For Rent in,"₹80,000","Indira nagar Stage 2, Bangalore",3.0,3.0,,1600sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹50/sqft,,,2(Out of 5 Floors),Immediately,East,Semi-Furnished,5 to 10 years,"₹80,000|₹6,000Monthly Maintenance","Indiranagar, Indira nagar Stage 2, Bangalore - Central, Karnataka",very close to 100 feet road and indiranagar metro station,Semi-Furnished,Vitrified,Main Road,5 to 10 years,,,,,,https://www.magicbricks.com/propertyDetails/3-BHK-1850-Sq-ft-Multistorey-Apartment-FOR-Rent-Indira-nagar-Stage-2-in-Bangalore&id=4d423833363733333135,,₹5.0 Lac,2.0,1.0,Puja Room,1.0,1 Covered,24 Hours Available,No/Rare Powercut,,,,,,,,Freehold,,,,,,,,,,
"3 BHK Flat 2015 Sq-ft For Rent in Pashmina Waterfront,","₹85,000","Battarahalli, Bangalore",3.0,3.0,,,Pashmina Developers,Pashmina Waterfront,26(Out of 38 Floors),Immediately,East,Furnished,5 to 10 years,"₹85,000|₹8,000Monthly Maintenance","Old Madras Road, Bangalore, Battarahalli, Bangalore - East, Karnataka",,Furnished,Vitrified,Pool,5 to 10 years,"Provision for power backup,Badminton court,Aesthetically designed landscape garden,Half basketball court,Fire Fighting Equipment,Cycling & Jogging Track,Outdoor Tennis Courts,Multipurpose Courts,Kids Play Pool With Water Slides,Indoor Squash & Badminton Courts,Indoor Games Room,Event Space & Amphitheatre,CCTV Camera,Multipurpose Hall,Large Clubhouse,Health club with Steam / Jaccuzi,Earth quake resistant,Outdoor Tennis Courts,Jogging and Strolling Track,Piped Gas,Waste Disposal,Maintenance Staff,Visitor Parking,Service/Goods Lift,Vaastu Compliant,Water Storage,Security,Reserved Parking,Park,Gymnasium,Swimming Pool,Club House,Rain Water Harvesting,Lift,Power Back Up",₹ 76.7 Lac - ₹ 4.17 Cr,,3 BHK Flats,"5 Towers , 725 Units",https://www.magicbricks.com/propertyDetails/3-BHK-2015-Sq-ft-Multistorey-Apartment-FOR-Rent-Battarahalli-in-Bangalore&id=4d423833343031323639,2015sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹42/sqft,₹3.0 Lac,2.0,1.0,,,"1 Covered, 1 Open",24 Hours Available,No/Rare Powercut,1.0,,,,,,,,,,,,,,,,,
